game_date_est,game_sequence,game_id,game_status_id,game_status_text,gamecode,home_team_id,visitor_team_id,season,live_period
2021-01-01,6,22000074,3,Final,20210101/WASMIN,1610612750,1610612764,2020,4
2021-01-01,9,22000077,3,Final,20210101/LACUTA,1610612762,1610612746,2020,4
2021-01-01,7,22000075,3,Final,20210101/LALSAS,1610612759,1610612747,2020,4
2021-01-01,2,22000070,3,Final,20210101/BOSDET,1610612765,1610612738,2020,4
2021-01-01,3,22000071,3,Final,20210101/MIADAL,1610612742,1610612748,2020,4
2021-01-01,8,22000076,3,Final,20210101/PHXDEN,1610612743,1610612756,2020,4
2021-01-01,1,22000069,3,Final,20210101/MEMCHA,1610612766,1610612763,2020,4
2021-01-01,5,22000073,3,Final,20210101/CHIMIL,1610612749,1610612741,2020,4
2021-01-01,4,22000072,3,Final,20210101/ATLBKN,1610612751,1610612737,2020,4
2021-01-01,10,22000078,3,Final,20210101/PORGSW,1610612744,1610612757,2020,4
2021-01-02,4,22000082,3,Final,20210102/CHAPHI,1610612755,1610612766,2020,4
2021-01-02,6,22000084,3,Final,20210102/TORNOP,1610612740,1610612761,2020,4
2021-01-02,1,22000079,3,Final,20210102/SACHOU,1610612745,1610612758,2020,4
2021-01-02,2,22000080,3,Final,20210102/NYKIND,1610612754,1610612752,2020,4
2021-01-02,3,22000081,3,Final,20210102/OKCORL,1610612753,1610612760,2020,4
2021-01-02,5,22000083,3,Final,20210102/CLEATL,1610612737,1610612739,2020,4
2021-01-03,8,22000092,3,Final,20210103/PORGSW,1610612744,1610612757,2020,4
2021-01-03,1,22000085,3,Final,20210103/BOSDET,1610612765,1610612738,2020,4
2021-01-03,4,22000088,3,Final,20210103/DENMIN,1610612750,1610612743,2020,4
2021-01-03,3,22000087,3,Final,20210103/LALMEM,1610612763,1610612747,2020,4
2021-01-03,5,22000089,3,Final,20210103/UTASAS,1610612759,1610612762,2020,4
2021-01-03,7,22000091,3,Final,20210103/LACPHX,1610612756,1610612746,2020,4
2021-01-03,2,22000086,3,Final,20210103/WASBKN,1610612751,1610612764,2020,4
2021-01-03,6,22000090,3,Final,20210103/DALCHI,1610612741,1610612742,2020,4
2021-01-04,7,22000099,3,Final,20210104/DETMIL,1610612749,1610612765,2020,4
2021-01-04,3,22000095,3,Final,20210104/NYKATL,1610612737,1610612752,2020,4
2021-01-04,6,22000098,3,Final,20210104/DALHOU,1610612745,1610612742,2020,4
2021-01-04,8,22000100,3,Final,20210104/INDNOP,1610612740,1610612754,2020,5
2021-01-04,1,22000093,3,Final,20210104/CLEORL,1610612753,1610612739,2020,4
2021-01-04,5,22000097,3,Final,20210104/BOSTOR,1610612761,1610612738,2020,4
2021-01-04,9,22000101,3,Final,20210104/SACGSW,1610612744,1610612758,2020,4
2021-01-04,2,22000094,3,Final,20210104/CHAPHI,1610612755,1610612766,2020,4
2021-01-04,4,22000096,3,Final,20210104/OKCMIA,1610612748,1610612760,2020,4
2021-01-05,5,22000106,3,Final,20210105/CHIPOR,1610612757,1610612741,2020,4
2021-01-05,1,22000102,3,Final,20210105/UTABKN,1610612751,1610612762,2020,4
2021-01-05,2,22000103,3,Final,20210105/LALMEM,1610612763,1610612747,2020,4
2021-01-05,4,22000105,3,Final,20210105/SASLAC,1610612746,1610612759,2020,4
2021-01-05,3,22000104,3,Final,20210105/MINDEN,1610612743,1610612750,2020,4
2021-01-06,3,22000109,3,Final,20210106/WASPHI,1610612755,1610612764,2020,4
2021-01-06,11,22000117,3,Final,20210106/CHISAC,1610612758,1610612741,2020,4
2021-01-06,1,22000107,3,Final,20210106/HOUIND,1610612754,1610612745,2020,4
2021-01-06,8,22000114,3,Final,20210106/OKCNOP,1610612740,1610612760,2020,4
2021-01-06,5,22000111,3,Final,20210106/BOSMIA,1610612748,1610612738,2020,4
2021-01-06,4,22000110,3,Final,20210106/CHAATL,1610612737,1610612766,2020,4
2021-01-06,9,22000115,3,Final,20210106/TORPHX,1610612756,1610612761,2020,4
2021-01-06,6,22000112,3,Final,20210106/UTANYK,1610612752,1610612762,2020,4
2021-01-06,7,22000113,3,Final,20210106/DETMIL,1610612749,1610612765,2020,4
2021-01-06,2,22000108,3,Final,20210106/CLEORL,1610612753,1610612739,2020,4
2021-01-06,10,22000116,3,Final,20210106/LACGSW,1610612744,1610612746,2020,4
2021-01-07,1,22000118,3,Final,20210107/PHIBKN,1610612751,1610612755,2020,4
2021-01-07,4,22000121,3,Final,20210107/SASLAL,1610612747,1610612759,2020,4
2021-01-07,3,22000120,3,Final,20210107/DALDEN,1610612743,1610612742,2020,5
2021-01-07,2,22000119,3,Final,20210107/CLEMEM,1610612763,1610612739,2020,4
2021-01-07,5,22000122,3,Final,20210107/MINPOR,1610612757,1610612750,2020,4
2021-01-08,1,22000123,3,Final,20210108/PHXDET,1610612765,1610612756,2020,5
2021-01-08,10,22000132,3,Final,20210108/TORSAC,1610612758,1610612761,2020,4
2021-01-08,2,22000124,3,Final,20210108/WASBOS,1610612738,1610612764,2020,4
2021-01-08,7,22000129,3,Final,20210108/UTAMIL,1610612749,1610612762,2020,4
2021-01-08,5,22000127,3,Final,20210108/ORLHOU,1610612745,1610612753,2020,4
2021-01-08,6,22000128,3,Final,20210108/BKNMEM,1610612763,1610612751,2020,4
2021-01-08,3,22000125,3,Final,20210108/OKCNYK,1610612752,1610612760,2020,4
2021-01-08,4,22000126,3,Final,20210108/CHANOP,1610612740,1610612766,2020,4
2021-01-08,8,22000130,3,Final,20210108/LACGSW,1610612744,1610612746,2020,4
2021-01-09,5,22000137,3,Final,20210109/CLEMIL,1610612749,1610612739,2020,4
2021-01-09,6,22000138,3,Final,20210109/SASMIN,1610612750,1610612759,2020,5
2021-01-09,3,22000135,3,Final,20210109/PHXIND,1610612754,1610612756,2020,4
2021-01-09,4,22000136,3,Final,20210109/MIAWAS,1610612764,1610612748,2020,4
2021-01-09,2,22000134,3,Final,20210109/ATLCHA,1610612766,1610612737,2020,4
2021-01-09,7,22000139,3,Final,20210109/ORLDAL,1610612742,1610612753,2020,4
2021-01-09,8,22000140,3,Final,20210109/PORSAC,1610612758,1610612757,2020,4
2021-01-09,1,22000133,3,Final,20210109/DENPHI,1610612755,1610612743,2020,4
2021-01-10,7,22000147,3,Final,20210110/SASMIN,1610612750,1610612759,2020,4
2021-01-10,2,22000142,3,Final,20210110/CHILAC,1610612746,1610612741,2020,4
2021-01-10,1,22000141,3,Final,20210110/UTADET,1610612765,1610612762,2020,4
2021-01-10,6,22000146,3,Final,20210110/LALHOU,1610612745,1610612747,2020,4
2021-01-10,8,22000148,3,Final,20210110/TORGSW,1610612744,1610612761,2020,4
2021-01-10,4,22000144,3,Final,20210110/DENNYK,1610612752,1610612743,2020,4
2021-01-10,3,22000143,3,Final,20210110/OKCBKN,1610612751,1610612760,2020,4
2021-01-11,5,22000153,3,Final,20210111/PHIATL,1610612737,1610612755,2020,4
2021-01-11,2,22000150,3,Final,20210111/MEMCLE,1610612739,1610612763,2020,4
2021-01-11,7,22000156,3,Final,20210111/INDSAC,1610612758,1610612754,2020,4
2021-01-11,4,22000152,3,Final,20210111/PHXWAS,1610612764,1610612756,2020,4
2021-01-11,6,22000155,3,Final,20210111/TORPOR,1610612757,1610612761,2020,4
2021-01-11,1,22000149,3,Final,20210111/NYKCHA,1610612766,1610612752,2020,4
2021-01-12,5,22000161,3,Final,20210112/LALHOU,1610612745,1610612747,2020,4
2021-01-12,3,22000159,3,Final,20210112/UTACLE,1610612739,1610612762,2020,4
2021-01-12,6,22000162,3,Final,20210112/SASOKC,1610612760,1610612759,2020,4
2021-01-12,7,22000163,3,Final,20210112/INDGSW,1610612744,1610612754,2020,4
2021-01-12,1,22000157,3,Final,20210112/MIAPHI,1610612755,1610612748,2020,5
2021-01-12,2,22000158,3,Final,20210112/DENBKN,1610612751,1610612743,2020,4
2021-01-13,2,22000165,3,Final,20210113/MILDET,1610612765,1610612749,2020,4
2021-01-13,6,22000169,3,Final,20210113/MEMMIN,1610612750,1610612763,2020,4
2021-01-13,9,22000172,3,Final,20210113/NOPLAC,1610612746,1610612740,2020,4
2021-01-13,5,22000168,3,Final,20210113/BKNNYK,1610612752,1610612751,2020,4
2021-01-13,1,22000164,3,Final,20210113/DALCHA,1610612766,1610612742,2020,4
2021-01-13,7,22000170,3,Final,20210113/LALOKC,1610612760,1610612747,2020,4
2021-01-13,10,22000173,3,Final,20210113/PORSAC,1610612758,1610612757,2020,4
2021-01-14,2,22000175,3,Final,20210114/CHATOR,1610612761,1610612766,2020,4
2021-01-14,4,22000177,3,Final,20210114/GSWDEN,1610612743,1610612744,2020,4
2021-01-14,1,22000174,3,Final,20210114/MIAPHI,1610612755,1610612748,2020,4
2021-01-14,3,22000176,3,Final,20210114/HOUSAS,1610612759,1610612745,2020,4
2021-01-14,5,22000178,3,Final,20210114/INDPOR,1610612757,1610612754,2020,4
2021-01-15,4,22000182,3,Final,20210115/DALMIL,1610612749,1610612742,2020,4
2021-01-15,10,22000188,3,Final,20210115/LACSAC,1610612758,1610612746,2020,4
2021-01-15,3,22000181,3,Final,20210115/NYKCLE,1610612739,1610612752,2020,4
2021-01-15,6,22000184,3,Final,20210115/CHIOKC,1610612760,1610612741,2020,5
2021-01-15,9,22000187,3,Final,20210115/NOPLAL,1610612747,1610612740,2020,4
2021-01-15,2,22000180,3,Final,20210115/ORLBOS,1610612738,1610612753,2020,4
2021-01-16,3,22000191,3,Final,20210116/CHATOR,1610612761,1610612766,2020,4
2021-01-16,7,22000195,3,Final,20210116/ATLPOR,1610612757,1610612737,2020,4
2021-01-16,2,22000190,3,Final,20210116/ORLBKN,1610612751,1610612753,2020,4
2021-01-16,5,22000193,3,Final,20210116/PHIMEM,1610612763,1610612755,2020,4
2021-01-16,4,22000192,3,Final,20210116/DETMIA,1610612748,1610612765,2020,4
2021-01-16,1,22000189,3,Final,20210116/HOUSAS,1610612759,1610612745,2020,4
2021-01-17,1,22000196,3,Final,20210117/NYKBOS,1610612738,1610612752,2020,4
2021-01-17,5,22000200,3,Final,20210117/UTADEN,1610612743,1610612762,2020,4
2021-01-17,3,22000198,3,Final,20210117/CHIDAL,1610612742,1610612741,2020,4
2021-01-17,7,22000202,3,Final,20210117/INDLAC,1610612746,1610612754,2020,4
2021-01-17,6,22000201,3,Final,20210117/NOPSAC,1610612758,1610612740,2020,4
2021-01-18,3,22000207,3,Final,20210118/SASPOR,1610612757,1610612759,2020,4
2021-01-18,4,22000208,3,Final,20210118/PHXMEM,1610612763,1610612756,2020,4
2021-01-18,5,22000209,3,Final,20210118/MILBKN,1610612751,1610612749,2020,4
2021-01-18,2,22000205,3,Final,20210118/MINATL,1610612737,1610612750,2020,4
